# 시험지 둘 — 규칙을 고칠 때 **보지 않고** 따로 쓴 문장. live/typos.tsv 에 맞춰 규칙을 다듬었으니
# 그것만 보면 숫자가 부풀려진다. 이 시험지로 정말 나아졌는지를 본다. 새로 걸린 것을 고쳤으면
# 그 문장은 typos.tsv 로 옮기고, 여기에는 또 안 본 문장을 채워 둔다.

울지마	울지 마
신경쓰지마	신경 쓰지 마
그러지말자	그러지 말자
더이상 안해	더 이상 안 해
하나만더 줘	하나만 더 줘
걱정마세요	걱정 마세요
안그러면 늦어	안 그러면 늦어
안좋은 일 있어?	안 좋은 일 있어?
안할래	안 할래
# 멀쩡한 문장 — 안 건드려야 한다
달러가 많이 올랐네	달러가 많이 올랐네
그림 컬러가 예쁘다	그림 컬러가 예쁘다
이집트 여행 가고 싶다	이집트 여행 가고 싶다
잘못 보냈어 미안	잘못 보냈어 미안
그분이 누구셔?	그분이 누구셔?
그때 기억나?	그때 기억나?
지난주에 만났잖아	지난주에 만났잖아
다음번엔 내가 살게	다음번엔 내가 살게
우리나라 최고	우리나라 최고
왜냐하면 바빴거든	왜냐하면 바빴거든
빨리빨리 해	빨리빨리 해
생각 하나 해 봤어	생각 하나 해 봤어
여행 해외로 가자	여행 해외로 가자
근거 있는 말이야?	근거 있는 말이야?
선거 끝났어	선거 끝났어
잘만 하면 돼	잘만 하면 돼
일만 하고 왔어	일만 하고 왔어
색이 많이 바랬네	색이 많이 바랬네
좀 있다가 나갈게	좀 있다가 나갈게
집에 있다가 나왔어	집에 있다가 나왔어
안되겠다 그냥 가자	안 되겠다 그냥 가자
그거 참 안됐다	그거 참 안됐다
쌀 한 되 주세요	쌀 한 되 주세요
결재 서류 올렸어요	결재 서류 올렸어요
아이를 낳았어요	아이를 낳았어요
놀려고 왔어	놀려고 왔어
감사합니다 수고하세요	감사합니다 수고하세요
