# 실시간 교정 시험지 — 사람들이 카톡에 실제로 칠 법한 문장에 흔한 맞춤법·띄어쓰기 실수를 섞었다.
# 형식: 친 글<TAB>정답 (둘 다 맞으면 ` | ` 로 나란히). live.sh 가 어절마다 스페이스를 누르며 친다.
# **정답 칸은 한글 맞춤법대로다.** 보조용언(-어 주다, -어 보다 …)은 붙여도 띄어도 맞다(제47항).
# 정답 칸을 그대로 쳤을 때 안 건드리는지도 같이 잰다 — 멀쩡한 글을 망가뜨리는지.

# --- 되/돼 ---
나 지금 가도 되요?	나 지금 가도 돼요?
이거 어떻해 하는거야	이거 어떻게 하는 거야
금방 갈께	금방 갈게
내가 할께요	내가 할게요
그럴줄 알았으면 말할껄	그럴 줄 알았으면 말할걸
이거 뭐에요?	이거 뭐예요?
저 학생이에요 아니 학생 아니예요	저 학생이에요 아니 학생 아니에요
그거 제 거에요	그거 제 거예요
어차피 늦었어	어차피 늦었어
어짜피 늦었어	어차피 늦었어
설겆이 내가 할게	설거지 내가 할게
떡볶기 먹으러 가자	떡볶이 먹으러 가자
오늘 저녁은 김치찌게	오늘 저녁은 김치찌개
육계장 한그릇 주세요	육개장 한 그릇 주세요
곱배기로 주세요	곱빼기로 주세요
요세 너무 바빠	요새 너무 바빠
위험을 무릎쓰고 갔어	위험을 무릅쓰고 갔어
너무 햇갈려	너무 헷갈려
그만 좀 닥달해	그만 좀 닦달해
뭘 그렇게 궁시렁대	뭘 그렇게 구시렁대
눈쌀이 찌푸려지네	눈살이 찌푸려지네
문 잠궈 놓고 나와	문 잠가 놓고 나와
시험 잘 치뤘어?	시험 잘 치렀어?
김치 담궜어	김치 담갔어
갯수가 안 맞아	개수가 안 맞아
우리 사겼어	우리 사귀었어
번호 바꼈어	번호 바뀌었어
나 그거 할려고 했는데	나 그거 하려고 했는데
그럴려고 한게 아니야	그러려고 한 게 아니야
밥 먹을려고 했는데	밥 먹으려고 했는데
감기 다 낳았어?	감기 다 나았어?
카드로 결재했어	카드로 결제했어
설레이는 마음으로	설레는 마음으로
내일 뵈요	내일 봬요
오늘 햇어	오늘 했어
괜찬아 걱정마	괜찮아 걱정 마
잘 모르겟어	잘 모르겠어
곰곰히 생각해봤는데	곰곰이 생각해 봤는데 | 곰곰이 생각해봤는데
깨끗히 치웠어	깨끗이 치웠어
일일히 다 확인했어	일일이 다 확인했어
틈틈히 공부해	틈틈이 공부해
솔직이 말하면	솔직히 말하면
이따가 봐	이따가 봐
있다가 보자	이따가 보자
얘기 좀 하자	얘기 좀 하자
예기 좀 하자	얘기 좀 하자
오랜동안 기다렸어	오랫동안 기다렸어
명예회손이야	명예훼손이야
내노라하는 사람들	내로라하는 사람들

# --- 띄어쓰기: 관형사·대명사·부사 ---
이번주말에 뭐할거야	이번 주말에 뭐 할 거야
다음주에 보자	다음 주에 보자
저번주에 갔었어	저번 주에 갔었어
뭐먹을까	뭐 먹을까
어디갈래	어디 갈래
언제올거야	언제 올 거야
왜그래 무슨일 있어?	왜 그래 무슨 일 있어?
잘자 내일 봐	잘 자 내일 봐
그사람 누구야	그 사람 누구야
우리집에 놀러와	우리 집에 놀러 와
같이가자	같이 가자
빨리와	빨리 와
많이먹어	많이 먹어
너무좋아	너무 좋아
진짜고마워	진짜 고마워
다먹었어	다 먹었어
못먹겠어	못 먹겠어
좀더 기다려줘	좀 더 기다려 줘 | 좀 더 기다려줘
더이상 못참아	더 이상 못 참아
안그래도 연락하려고 했어	안 그래도 연락하려고 했어
한번더 해볼게	한 번 더 해 볼게 | 한 번 더 해볼게
조금만더 자고싶다	조금만 더 자고 싶다

# --- 띄어쓰기: 명사 + 하다/되다 ---
나 공부 하는 중이야	나 공부하는 중이야
오늘 운동 했어	오늘 운동했어
잘 생각 해봐	잘 생각해 봐 | 잘 생각해봐
준비 다 됐어?	준비 다 됐어?
나중에 전화 할게	나중에 전화할게
도착 하면 연락해	도착하면 연락해
내일 시간되면 밥먹자	내일 시간 되면 밥 먹자
걱정 하지마	걱정하지 마

# --- 띄어쓰기: 의존명사 ---
할수있어	할 수 있어
나도 할수있을것같아	나도 할 수 있을 것 같아
갈데가 없어	갈 데가 없어
아는척 하지마	아는 척하지 마
그거 본적 있어	그거 본 적 있어
그런줄 몰랐어	그런 줄 몰랐어
이거 먹을만해	이거 먹을 만해
올때 우유 사와	올 때 우유 사 와 | 올 때 우유 사와
지금 밥먹는중	지금 밥 먹는 중
어떻게 된건지 모르겠어	어떻게 된 건지 모르겠어
내가 할게 뭐있어	내가 할 게 뭐 있어
비올것같아 우산 챙겨	비 올 것 같아 우산 챙겨
늦을것같아 먼저 가	늦을 것 같아 먼저 가
그건 니가 할일이야	그건 니가 할 일이야
갈수록 어려워	갈수록 어려워

# --- 띄어쓰기: 수·단위 ---
한시간만 기다려	한 시간만 기다려
두명 예약했어	두 명 예약했어
세번이나 전화했어	세 번이나 전화했어
다섯시에 만나	다섯 시에 만나
사과 두개 주세요	사과 두 개 주세요
커피 한잔 할래?	커피 한잔할래? | 커피 한잔 할래?

# --- 띄어쓰기: 부정·보조 ---
그거 먹지마	그거 먹지 마
거기 가지말자	거기 가지 말자
나 집에 가고싶어	나 집에 가고 싶어
이거 좀 해줄래?	이거 좀 해 줄래? | 이거 좀 해줄래?
한번 먹어봐	한번 먹어 봐 | 한번 먹어봐

# --- 조사를 띄운 것 ---
엄마 한테 물어볼게	엄마한테 물어볼게 | 엄마한테 물어 볼게
학교 에서 봐	학교에서 봐
친구 랑 놀았어	친구랑 놀았어

# --- 붙여 친 문장 ---
오늘날씨가너무좋아서 기분이좋다	오늘 날씨가 너무 좋아서 기분이 좋다
나는밥을먹고학교에갔다	나는 밥을 먹고 학교에 갔다
어제친구랑영화봤어	어제 친구랑 영화 봤어
집에가는길에편의점들렀어	집에 가는 길에 편의점 들렀어
내일아침에일찍일어나야돼	내일 아침에 일찍 일어나야 돼

# --- 멀쩡한 문장 (안 건드려야 한다) ---
비가 올 것 같아서 우산을 챙겼다	비가 올 것 같아서 우산을 챙겼다
회의는 다음 주 월요일에 합니다	회의는 다음 주 월요일에 합니다
감사합니다 좋은 하루 되세요	감사합니다 좋은 하루 되세요
3시간 동안 기다렸어	3시간 동안 기다렸어
그 사람은 떠나 버렸다	그 사람은 떠나 버렸다
오늘 점심 뭐 먹었어?	오늘 점심 뭐 먹었어?
응 알겠어 이따 연락할게	응 알겠어 이따 연락할게
생일 축하해 행복한 하루 보내	생일 축하해 행복한 하루 보내
아직 회사야 좀 늦을 것 같아	아직 회사야 좀 늦을 것 같아
주말에 부모님 댁에 다녀왔어	주말에 부모님 댁에 다녀왔어
소리가 잘 안 들려서 다시 말해 줘	소리가 잘 안 들려서 다시 말해 줘
그 문제는 정답을 맞혔어	그 문제는 정답을 맞혔어
퍼즐 조각을 맞춰 봐	퍼즐 조각을 맞춰 봐
선생님이 가르쳐 주셨어	선생님이 가르쳐 주셨어
손가락으로 가리켜 봐	손가락으로 가리켜 봐
놀려고 나왔지	놀려고 나왔지
케이크 만들려고 샀어	케이크 만들려고 샀어
하든지 말든지 알아서 해	하든지 말든지 알아서 해
오늘 날씨 진짜 좋다	오늘 날씨 진짜 좋다
